
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, Alba, Anul 2009, Numar persoane, 391990
Total, Total, Total, Alba, Anul 2010, Numar persoane, 390612
Total, Total, Total, Alba, Anul 2011, Numar persoane, 388869
Total, Total, Total, Alba, Anul 2012, Numar persoane, 387394
Total, Total, Total, Alba, Anul 2013, Numar persoane, 385716
Total, Total, Total, Alba, Anul 2014, Numar persoane, 384135
Total, Total, Total, Alba, Anul 2015, Numar persoane, 382870
Total, Total, Total, Alba, Anul 2016, Numar persoane, 381185
Total, Total, Total, Alba, Anul 2017, Numar persoane, 379486
Total, Total, Total, Brasov, Anul 1992, Numar persoane, 627434
Total, Total, Total, Brasov, Anul 1993, Numar persoane, 629987
Total, Total, Total, Brasov, Anul 1994, Numar persoane, 630587
Total, Total, Total, Brasov, Anul 1995, Numar persoane, 630831
Total, Total, Total, Brasov, Anul 1996, Numar persoane, 628984
Total, Total, Total, Brasov, Anul 1997, Numar persoane, 627837
Total, Total, Total, Brasov, Anul 1998, Numar persoane, 626225
Total, Total, Total, Brasov, Anul 1999, Numar persoane, 624999
Total, Total, Total, Brasov, Anul 2000, Numar persoane, 624007
Total, Total, Total, Brasov, Anul 2001, Numar persoane, 623271
Total, Total, Total, Brasov, Anul 2002, Numar persoane, 623221
Total, Total, Total, Brasov, Anul 2003, Numar persoane, 622785
Total, Total, Total, Brasov, Anul 2004, Numar persoane, 622928
Total, Total, Total, Brasov, Anul 2005, Numar persoane, 622939
Total, Total, Total, Brasov, Anul 2006, Numar persoane, 623325
Total, Total, Total, Brasov, Anul 2007, Numar persoane, 623716
Total, Total, Total, Brasov, Anul 2008, Numar persoane, 624778
Total, Total, Total, Brasov, Anul 2009, Numar persoane, 625669
Total, Total, Total, Brasov, Anul 2010, Numar persoane, 626678
Total, Total, Total, Brasov, Anul 2011, Numar persoane, 627696
Total, Total, Total, Brasov, Anul 2012, Numar persoane, 628388
Total, Total, Total, Brasov, Anul 2013, Numar persoane, 629164
Total, Total, Total, Brasov, Anul 2014, Numar persoane, 629816
Total, Total, Total, Brasov, Anul 2015, Numar persoane, 630991
Total, Total, Total, Brasov, Anul 2016, Numar persoane, 631356
Total, Total, Total, Brasov, Anul 2017, Numar persoane, 632650
Total, Total, Total, Covasna, Anul 1992, Numar persoane, 235254
Total, Total, Total, Covasna, Anul 1993, Numar persoane, 234921
Total, Total, Total, Covasna, Anul 1994, Numar persoane, 234585
Total, Total, Total, Covasna, Anul 1995, Numar persoane, 233931
Total, Total, Total, Covasna, Anul 1996, Numar persoane, 233393
Total, Total, Total, Covasna, Anul 1997, Numar persoane, 233039
Total, Total, Total, Covasna, Anul 1998, Numar persoane, 232871
Total, Total, Total, Covasna, Anul 1999, Numar persoane, 232747
Total, Total, Total, Covasna, Anul 2000, Numar persoane, 232833
Total, Total, Total, Covasna, Anul 2001, Numar persoane, 233129
Total, Total, Total, Covasna, Anul 2002, Numar persoane, 233366
Total, Total, Total, Covasna, Anul 2003, Numar persoane, 233075
Total, Total, Total, Covasna, Anul 2004, Numar persoane, 232781
Total, Total, Total, Covasna, Anul 2005, Numar persoane, 232574
Total, Total, Total, Covasna, Anul 2006, Numar persoane, 232675
Total, Total, Total, Covasna, Anul 2007, Numar persoane, 232559
Total, Total, Total, Covasna, Anul 2008, Numar persoane, 232408
Total, Total, Total, Covasna, Anul 2009, Numar persoane, 232251
Total, Total, Total, Covasna, Anul 2010, Numar persoane, 232052
Total, Total, Total, Covasna, Anul 2011, Numar persoane, 231521
Total, Total, Total, Covasna, Anul 2012, Numar persoane, 230907
Total, Total, Total, Covasna, Anul 2013, Numar persoane, 230392
Total, Total, Total, Covasna, Anul 2014, Numar persoane, 229958
Total, Total, Total, Covasna, Anul 2015, Numar persoane, 229476
Total, Total, Total, Covasna, Anul 2016, Numar persoane, 228852
Total, Total, Total, Covasna, Anul 2017, Numar persoane, 228223
Total, Total, Total, Harghita, Anul 1992, Numar persoane, 349886
Total, Total, Total, Harghita, Anul 1993, Numar persoane, 348637
Total, Total, Total, Harghita, Anul 1994, Numar persoane, 347410
Total, Total, Total, Harghita, Anul 1995, Numar persoane, 346461
Total, Total, Total, Harghita, Anul 1996, Numar persoane, 345253
Total, Total, Total, Harghita, Anul 1997, Numar persoane, 344076
Total, Total, Total, Harghita, Anul 1998, Numar persoane, 343378
Total, Total, Total, Harghita, Anul 1999, Numar persoane, 343058
Total, Total, Total, Harghita, Anul 2000, Numar persoane, 342641
Total, Total, Total, Harghita, Anul 2001, Numar persoane, 342495
Total, Total, Total, Harghita, Anul 2002, Numar persoane, 342136
Total, Total, Total, Harghita, Anul 2003, Numar persoane, 341296
Total, Total, Total, Harghita, Anul 2004, Numar persoane, 340579
Total, Total, Total, Harghita, Anul 2005, Numar persoane, 339636
Total, Total, Total, Harghita, Anul 2006, Numar persoane, 339126
Total, Total, Total, Harghita, Anul 2007, Numar persoane, 338480
Total, Total, Total, Harghita, Anul 2008, Numar persoane, 338031
Total, Total, Total, Harghita, Anul 2009, Numar persoane, 337633
Total, Total, Total, Harghita, Anul 2010, Numar persoane, 337294
Total, Total, Total, Harghita, Anul 2011, Numar persoane, 336684
Total, Total, Total, Harghita, Anul 2012, Numar persoane, 336093
Total, Total, Total, Harghita, Anul 2013, Numar persoane, 335608
Total, Total, Total, Harghita, Anul 2014, Numar persoane, 335058
Total, Total, Total, Harghita, Anul 2015, Numar persoane, 334611
Total, Total, Total, Harghita, Anul 2016, Numar persoane, 333789
Total, Total, Total, Harghita, Anul 2017, Numar persoane, 333175
Total, Total, Total, Mures, Anul 1992, Numar persoane, 618243
Total, Total, Total, Mures, Anul 1993, Numar persoane, 616650
Total, Total, Total, Mures, Anul 1994, Numar persoane, 614732
