
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 2006, Numar persoane, 266
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 2007, Numar persoane, 301
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 2008, Numar persoane, 331
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 2009, Numar persoane, 304
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 2010, Numar persoane, 284
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 2011, Numar persoane, 213
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 2012, Numar persoane, 168
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 2013, Numar persoane, 167
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 2014, Numar persoane, 176
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 2015, Numar persoane, 150
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 2016, Numar persoane, 169
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 1994, Numar persoane, 380
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 1995, Numar persoane, 380
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 1996, Numar persoane, 405
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 1997, Numar persoane, 475
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 1998, Numar persoane, 340
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 1999, Numar persoane, 286
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2000, Numar persoane, 259
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2001, Numar persoane, 273
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2002, Numar persoane, 356
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2003, Numar persoane, 334
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2004, Numar persoane, 222
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2005, Numar persoane, 181
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2006, Numar persoane, 141
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2007, Numar persoane, 157
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2008, Numar persoane, 160
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2009, Numar persoane, 156
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2010, Numar persoane, 152
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2011, Numar persoane, 89
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2012, Numar persoane, 95
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2013, Numar persoane, 70
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2014, Numar persoane, 89
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2015, Numar persoane, 77
Tulburari mentale si de comportament, Regiunea NORD-EST, Anul 2016, Numar persoane, 67
Tulburari mentale si de comportament, Bacau, Anul 1994, Numar persoane, 36
Tulburari mentale si de comportament, Bacau, Anul 1995, Numar persoane, 36
Tulburari mentale si de comportament, Bacau, Anul 1996, Numar persoane, 28
Tulburari mentale si de comportament, Bacau, Anul 1997, Numar persoane, 55
Tulburari mentale si de comportament, Bacau, Anul 1998, Numar persoane, 27
Tulburari mentale si de comportament, Bacau, Anul 1999, Numar persoane, 27
Tulburari mentale si de comportament, Bacau, Anul 2000, Numar persoane, 38
Tulburari mentale si de comportament, Bacau, Anul 2001, Numar persoane, 53
Tulburari mentale si de comportament, Bacau, Anul 2002, Numar persoane, 89
Tulburari mentale si de comportament, Bacau, Anul 2003, Numar persoane, 70
Tulburari mentale si de comportament, Bacau, Anul 2004, Numar persoane, 24
Tulburari mentale si de comportament, Bacau, Anul 2005, Numar persoane, 19
Tulburari mentale si de comportament, Bacau, Anul 2006, Numar persoane, 18
Tulburari mentale si de comportament, Bacau, Anul 2007, Numar persoane, 37
Tulburari mentale si de comportament, Bacau, Anul 2008, Numar persoane, 33
Tulburari mentale si de comportament, Bacau, Anul 2009, Numar persoane, 37
Tulburari mentale si de comportament, Bacau, Anul 2010, Numar persoane, 35
Tulburari mentale si de comportament, Bacau, Anul 2011, Numar persoane, 21
Tulburari mentale si de comportament, Bacau, Anul 2012, Numar persoane, 20
Tulburari mentale si de comportament, Bacau, Anul 2013, Numar persoane, 21
Tulburari mentale si de comportament, Bacau, Anul 2014, Numar persoane, 26
Tulburari mentale si de comportament, Bacau, Anul 2015, Numar persoane, 31
Tulburari mentale si de comportament, Bacau, Anul 2016, Numar persoane, 36
Tulburari mentale si de comportament, Botosani, Anul 1994, Numar persoane, 85
Tulburari mentale si de comportament, Botosani, Anul 1995, Numar persoane, 123
Tulburari mentale si de comportament, Botosani, Anul 1996, Numar persoane, 93
Tulburari mentale si de comportament, Botosani, Anul 1997, Numar persoane, 89
Tulburari mentale si de comportament, Botosani, Anul 1998, Numar persoane, 79
Tulburari mentale si de comportament, Botosani, Anul 1999, Numar persoane, 63
Tulburari mentale si de comportament, Botosani, Anul 2000, Numar persoane, 44
Tulburari mentale si de comportament, Botosani, Anul 2001, Numar persoane, 33
Tulburari mentale si de comportament, Botosani, Anul 2002, Numar persoane, 43
Tulburari mentale si de comportament, Botosani, Anul 2003, Numar persoane, 35
Tulburari mentale si de comportament, Botosani, Anul 2004, Numar persoane, 39
Tulburari mentale si de comportament, Botosani, Anul 2005, Numar persoane, 37
Tulburari mentale si de comportament, Botosani, Anul 2006, Numar persoane, 33
Tulburari mentale si de comportament, Botosani, Anul 2007, Numar persoane, 14
Tulburari mentale si de comportament, Botosani, Anul 2008, Numar persoane, 20
Tulburari mentale si de comportament, Botosani, Anul 2009, Numar persoane, 15
Tulburari mentale si de comportament, Botosani, Anul 2010, Numar persoane, 18
Tulburari mentale si de comportament, Botosani, Anul 2011, Numar persoane, 16
Tulburari mentale si de comportament, Botosani, Anul 2012, Numar persoane, 9
Tulburari mentale si de comportament, Botosani, Anul 2013, Numar persoane, 6
Tulburari mentale si de comportament, Botosani, Anul 2014, Numar persoane, 16
Tulburari mentale si de comportament, Botosani, Anul 2015, Numar persoane, 10
Tulburari mentale si de comportament, Botosani, Anul 2016, Numar persoane, 17
Tulburari mentale si de comportament, Iasi, Anul 1994, Numar persoane, 101
Tulburari mentale si de comportament, Iasi, Anul 1995, Numar persoane, 23
Tulburari mentale si de comportament, Iasi, Anul 1996, Numar persoane, 87
Tulburari mentale si de comportament, Iasi, Anul 1997, Numar persoane, 151
Tulburari mentale si de comportament, Iasi, Anul 1998, Numar persoane, 90
Tulburari mentale si de comportament, Iasi, Anul 1999, Numar persoane, 70
Tulburari mentale si de comportament, Iasi, Anul 2000, Numar persoane, 46
Tulburari mentale si de comportament, Iasi, Anul 2001, Numar persoane, 63
Tulburari mentale si de comportament, Iasi, Anul 2002, Numar persoane, 76
Tulburari mentale si de comportament, Iasi, Anul 2003, Numar persoane, 68
Tulburari mentale si de comportament, Iasi, Anul 2004, Numar persoane, 60
Tulburari mentale si de comportament, Iasi, Anul 2005, Numar persoane, 48
Tulburari mentale si de comportament, Iasi, Anul 2006, Numar persoane, 27
Tulburari mentale si de comportament, Iasi, Anul 2007, Numar persoane, 32
Tulburari mentale si de comportament, Iasi, Anul 2008, Numar persoane, 25
Tulburari mentale si de comportament, Iasi, Anul 2009, Numar persoane, 33
Tulburari mentale si de comportament, Iasi, Anul 2010, Numar persoane, 31
Tulburari mentale si de comportament, Iasi, Anul 2011, Numar persoane, 22
Tulburari mentale si de comportament, Iasi, Anul 2012, Numar persoane, 20
Tulburari mentale si de comportament, Iasi, Anul 2013, Numar persoane, 14
Tulburari mentale si de comportament, Iasi, Anul 2014, Numar persoane, 30
Tulburari mentale si de comportament, Iasi, Anul 2015, Numar persoane, 17
Tulburari mentale si de comportament, Iasi, Anul 2016, Numar persoane, 4
Tulburari mentale si de comportament, Neamt, Anul 1994, Numar persoane, 17
Tulburari mentale si de comportament, Neamt, Anul 1995, Numar persoane, 39
Tulburari mentale si de comportament, Neamt, Anul 1996, Numar persoane, 35
Tulburari mentale si de comportament, Neamt, Anul 1997, Numar persoane, 46
Tulburari mentale si de comportament, Neamt, Anul 1998, Numar persoane, 40
Tulburari mentale si de comportament, Neamt, Anul 1999, Numar persoane, 27
Tulburari mentale si de comportament, Neamt, Anul 2000, Numar persoane, 42
Tulburari mentale si de comportament, Neamt, Anul 2001, Numar persoane, 36
Tulburari mentale si de comportament, Neamt, Anul 2002, Numar persoane, 70
Tulburari mentale si de comportament, Neamt, Anul 2003, Numar persoane, 81
Tulburari mentale si de comportament, Neamt, Anul 2004, Numar persoane, 28
Tulburari mentale si de comportament, Neamt, Anul 2005, Numar persoane, 25
Tulburari mentale si de comportament, Neamt, Anul 2006, Numar persoane, 24
Tulburari mentale si de comportament, Neamt, Anul 2007, Numar persoane, 31
Tulburari mentale si de comportament, Neamt, Anul 2008, Numar persoane, 25
Tulburari mentale si de comportament, Neamt, Anul 2009, Numar persoane, 27
Tulburari mentale si de comportament, Neamt, Anul 2010, Numar persoane, 33
Tulburari mentale si de comportament, Neamt, Anul 2011, Numar persoane, 17
Tulburari mentale si de comportament, Neamt, Anul 2012, Numar persoane, 21
Tulburari mentale si de comportament, Neamt, Anul 2013, Numar persoane, 17
Tulburari mentale si de comportament, Neamt, Anul 2014, Numar persoane, 5
Tulburari mentale si de comportament, Neamt, Anul 2015, Numar persoane, 7
Tulburari mentale si de comportament, Neamt, Anul 2016, Numar persoane, 6
Tulburari mentale si de comportament, Suceava, Anul 1994, Numar persoane, 39
Tulburari mentale si de comportament, Suceava, Anul 1995, Numar persoane, 87
Tulburari mentale si de comportament, Suceava, Anul 1996, Numar persoane, 75
Tulburari mentale si de comportament, Suceava, Anul 1997, Numar persoane, 46
Tulburari mentale si de comportament, Suceava, Anul 1998, Numar persoane, 41
Tulburari mentale si de comportament, Suceava, Anul 1999, Numar persoane, 26
Tulburari mentale si de comportament, Suceava, Anul 2000, Numar persoane, 31
Tulburari mentale si de comportament, Suceava, Anul 2001, Numar persoane, 40
Tulburari mentale si de comportament, Suceava, Anul 2002, Numar persoane, 15
Tulburari mentale si de comportament, Suceava, Anul 2003, Numar persoane, 10
Tulburari mentale si de comportament, Suceava, Anul 2004, Numar persoane, 23
Tulburari mentale si de comportament, Suceava, Anul 2005, Numar persoane, 22
Tulburari mentale si de comportament, Suceava, Anul 2006, Numar persoane, 19
Tulburari mentale si de comportament, Suceava, Anul 2007, Numar persoane, 24
Tulburari mentale si de comportament, Suceava, Anul 2008, Numar persoane, 26
Tulburari mentale si de comportament, Suceava, Anul 2009, Numar persoane, 16
Tulburari mentale si de comportament, Suceava, Anul 2010, Numar persoane, 15
Tulburari mentale si de comportament, Suceava, Anul 2011, Numar persoane, 7
Tulburari mentale si de comportament, Suceava, Anul 2012, Numar persoane, 14
Tulburari mentale si de comportament, Suceava, Anul 2013, Numar persoane, 3
Tulburari mentale si de comportament, Suceava, Anul 2014, Numar persoane, 6
Tulburari mentale si de comportament, Suceava, Anul 2015, Numar persoane, 4
Tulburari mentale si de comportament, Vaslui, Anul 1994, Numar persoane, 102
Tulburari mentale si de comportament, Vaslui, Anul 1995, Numar persoane, 72
Tulburari mentale si de comportament, Vaslui, Anul 1996, Numar persoane, 87
Tulburari mentale si de comportament, Vaslui, Anul 1997, Numar persoane, 88
Tulburari mentale si de comportament, Vaslui, Anul 1998, Numar persoane, 63
Tulburari mentale si de comportament, Vaslui, Anul 1999, Numar persoane, 73
Tulburari mentale si de comportament, Vaslui, Anul 2000, Numar persoane, 58
Tulburari mentale si de comportament, Vaslui, Anul 2001, Numar persoane, 48
Tulburari mentale si de comportament, Vaslui, Anul 2002, Numar persoane, 63
Tulburari mentale si de comportament, Vaslui, Anul 2003, Numar persoane, 70
Tulburari mentale si de comportament, Vaslui, Anul 2004, Numar persoane, 48
Tulburari mentale si de comportament, Vaslui, Anul 2005, Numar persoane, 30
Tulburari mentale si de comportament, Vaslui, Anul 2006, Numar persoane, 20
Tulburari mentale si de comportament, Vaslui, Anul 2007, Numar persoane, 19
Tulburari mentale si de comportament, Vaslui, Anul 2008, Numar persoane, 31
Tulburari mentale si de comportament, Vaslui, Anul 2009, Numar persoane, 28
Tulburari mentale si de comportament, Vaslui, Anul 2010, Numar persoane, 20
Tulburari mentale si de comportament, Vaslui, Anul 2011, Numar persoane, 6
Tulburari mentale si de comportament, Vaslui, Anul 2012, Numar persoane, 11
Tulburari mentale si de comportament, Vaslui, Anul 2013, Numar persoane, 9
Tulburari mentale si de comportament, Vaslui, Anul 2014, Numar persoane, 6
Tulburari mentale si de comportament, Vaslui, Anul 2015, Numar persoane, 8
Tulburari mentale si de comportament, Vaslui, Anul 2016, Numar persoane, 4
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 1994, Numar persoane, 332
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 1995, Numar persoane, 340
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 1996, Numar persoane, 375
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 1997, Numar persoane, 416
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 1998, Numar persoane, 282
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 1999, Numar persoane, 234
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2000, Numar persoane, 222
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2001, Numar persoane, 240
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2002, Numar persoane, 261
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2003, Numar persoane, 218
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2004, Numar persoane, 231
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2005, Numar persoane, 189
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2006, Numar persoane, 125
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2007, Numar persoane, 144
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2008, Numar persoane, 171
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2009, Numar persoane, 148
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2010, Numar persoane, 132
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2011, Numar persoane, 124
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2012, Numar persoane, 73
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2013, Numar persoane, 97
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2014, Numar persoane, 87
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2015, Numar persoane, 73
Tulburari mentale si de comportament, Regiunea SUD-EST, Anul 2016, Numar persoane, 102
Tulburari mentale si de comportament, Braila, Anul 1994, Numar persoane, 29
Tulburari mentale si de comportament, Braila, Anul 1995, Numar persoane, 7
Tulburari mentale si de comportament, Braila, Anul 1996, Numar persoane, 14
Tulburari mentale si de comportament, Braila, Anul 1997, Numar persoane, 35
Tulburari mentale si de comportament, Braila, Anul 1998, Numar persoane, 26
Tulburari mentale si de comportament, Braila, Anul 1999, Numar persoane, 22
Tulburari mentale si de comportament, Braila, Anul 2000, Numar persoane, 20
Tulburari mentale si de comportament, Braila, Anul 2001, Numar persoane, 5
Tulburari mentale si de comportament, Braila, Anul 2002, Numar persoane, 7
Tulburari mentale si de comportament, Braila, Anul 2003, Numar persoane, 7
Tulburari mentale si de comportament, Braila, Anul 2004, Numar persoane, 10
Tulburari mentale si de comportament, Braila, Anul 2005, Numar persoane, 7
Tulburari mentale si de comportament, Braila, Anul 2006, Numar persoane, 4
Tulburari mentale si de comportament, Braila, Anul 2007, Numar persoane, 6
