
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Alba, Anul 2005, Numar persoane, 4826
Total, Alba, Anul 2006, Numar persoane, 4642
Total, Alba, Anul 2007, Numar persoane, 4349
Total, Alba, Anul 2008, Numar persoane, 4459
Total, Alba, Anul 2009, Numar persoane, 4687
Total, Alba, Anul 2010, Numar persoane, 4517
Total, Alba, Anul 2011, Numar persoane, 4433
Total, Alba, Anul 2012, Numar persoane, 4414
Total, Alba, Anul 2013, Numar persoane, 4357
Total, Alba, Anul 2014, Numar persoane, 4342
Total, Alba, Anul 2015, Numar persoane, 4621
Total, Alba, Anul 2016, Numar persoane, 4431
Total, Brasov, Anul 1990, Numar persoane, 5550
Total, Brasov, Anul 1991, Numar persoane, 5541
Total, Brasov, Anul 1992, Numar persoane, 5701
Total, Brasov, Anul 1993, Numar persoane, 5977
Total, Brasov, Anul 1994, Numar persoane, 5846
Total, Brasov, Anul 1995, Numar persoane, 6005
Total, Brasov, Anul 1996, Numar persoane, 6163
Total, Brasov, Anul 1997, Numar persoane, 6113
Total, Brasov, Anul 1998, Numar persoane, 6018
Total, Brasov, Anul 1999, Numar persoane, 5942
Total, Brasov, Anul 2000, Numar persoane, 5725
Total, Brasov, Anul 2001, Numar persoane, 5751
Total, Brasov, Anul 2002, Numar persoane, 6106
Total, Brasov, Anul 2003, Numar persoane, 5909
Total, Brasov, Anul 2004, Numar persoane, 5822
Total, Brasov, Anul 2005, Numar persoane, 5926
Total, Brasov, Anul 2006, Numar persoane, 5999
Total, Brasov, Anul 2007, Numar persoane, 5800
Total, Brasov, Anul 2008, Numar persoane, 5956
Total, Brasov, Anul 2009, Numar persoane, 5789
Total, Brasov, Anul 2010, Numar persoane, 5905
Total, Brasov, Anul 2011, Numar persoane, 5818
Total, Brasov, Anul 2012, Numar persoane, 5870
Total, Brasov, Anul 2013, Numar persoane, 6115
Total, Brasov, Anul 2014, Numar persoane, 6129
Total, Brasov, Anul 2015, Numar persoane, 6280
Total, Brasov, Anul 2016, Numar persoane, 6116
Total, Covasna, Anul 1990, Numar persoane, 2428
Total, Covasna, Anul 1991, Numar persoane, 2542
Total, Covasna, Anul 1992, Numar persoane, 2686
Total, Covasna, Anul 1993, Numar persoane, 2579
Total, Covasna, Anul 1994, Numar persoane, 2671
Total, Covasna, Anul 1995, Numar persoane, 2524
Total, Covasna, Anul 1996, Numar persoane, 2745
Total, Covasna, Anul 1997, Numar persoane, 2627
Total, Covasna, Anul 1998, Numar persoane, 2586
Total, Covasna, Anul 1999, Numar persoane, 2556
Total, Covasna, Anul 2000, Numar persoane, 2405
Total, Covasna, Anul 2001, Numar persoane, 2351
Total, Covasna, Anul 2002, Numar persoane, 2573
Total, Covasna, Anul 2003, Numar persoane, 2600
Total, Covasna, Anul 2004, Numar persoane, 2511
Total, Covasna, Anul 2005, Numar persoane, 2427
Total, Covasna, Anul 2006, Numar persoane, 2593
Total, Covasna, Anul 2007, Numar persoane, 2467
Total, Covasna, Anul 2008, Numar persoane, 2523
Total, Covasna, Anul 2009, Numar persoane, 2559
Total, Covasna, Anul 2010, Numar persoane, 2526
Total, Covasna, Anul 2011, Numar persoane, 2421
Total, Covasna, Anul 2012, Numar persoane, 2483
Total, Covasna, Anul 2013, Numar persoane, 2390
Total, Covasna, Anul 2014, Numar persoane, 2515
Total, Covasna, Anul 2015, Numar persoane, 2450
Total, Covasna, Anul 2016, Numar persoane, 2486
Total, Harghita, Anul 1990, Numar persoane, 3648
Total, Harghita, Anul 1991, Numar persoane, 3738
Total, Harghita, Anul 1992, Numar persoane, 3961
Total, Harghita, Anul 1993, Numar persoane, 4090
Total, Harghita, Anul 1994, Numar persoane, 3981
Total, Harghita, Anul 1995, Numar persoane, 4121
Total, Harghita, Anul 1996, Numar persoane, 4240
Total, Harghita, Anul 1997, Numar persoane, 4151
Total, Harghita, Anul 1998, Numar persoane, 3967
Total, Harghita, Anul 1999, Numar persoane, 3906
Total, Harghita, Anul 2000, Numar persoane, 3711
Total, Harghita, Anul 2001, Numar persoane, 3747
Total, Harghita, Anul 2002, Numar persoane, 3929
Total, Harghita, Anul 2003, Numar persoane, 3897
Total, Harghita, Anul 2004, Numar persoane, 3759
Total, Harghita, Anul 2005, Numar persoane, 3778
Total, Harghita, Anul 2006, Numar persoane, 3918
Total, Harghita, Anul 2007, Numar persoane, 3602
Total, Harghita, Anul 2008, Numar persoane, 3714
Total, Harghita, Anul 2009, Numar persoane, 3679
Total, Harghita, Anul 2010, Numar persoane, 3654
Total, Harghita, Anul 2011, Numar persoane, 3556
Total, Harghita, Anul 2012, Numar persoane, 3564
Total, Harghita, Anul 2013, Numar persoane, 3398
Total, Harghita, Anul 2014, Numar persoane, 3560
Total, Harghita, Anul 2015, Numar persoane, 3684
Total, Harghita, Anul 2016, Numar persoane, 3568
Total, Mures, Anul 1990, Numar persoane, 6812
Total, Mures, Anul 1991, Numar persoane, 6829
Total, Mures, Anul 1992, Numar persoane, 7356
Total, Mures, Anul 1993, Numar persoane, 7496
Total, Mures, Anul 1994, Numar persoane, 7363
Total, Mures, Anul 1995, Numar persoane, 7524
Total, Mures, Anul 1996, Numar persoane, 7911
Total, Mures, Anul 1997, Numar persoane, 7831
Total, Mures, Anul 1998, Numar persoane, 7717
Total, Mures, Anul 1999, Numar persoane, 7481
Total, Mures, Anul 2000, Numar persoane, 6898
Total, Mures, Anul 2001, Numar persoane, 7105
Total, Mures, Anul 2002, Numar persoane, 7621
Total, Mures, Anul 2003, Numar persoane, 7137
Total, Mures, Anul 2004, Numar persoane, 7190
Total, Mures, Anul 2005, Numar persoane, 7355
Total, Mures, Anul 2006, Numar persoane, 7295
Total, Mures, Anul 2007, Numar persoane, 6919
Total, Mures, Anul 2008, Numar persoane, 6858
Total, Mures, Anul 2009, Numar persoane, 7089
Total, Mures, Anul 2010, Numar persoane, 7148
Total, Mures, Anul 2011, Numar persoane, 6908
Total, Mures, Anul 2012, Numar persoane, 6775
Total, Mures, Anul 2013, Numar persoane, 6674
Total, Mures, Anul 2014, Numar persoane, 6831
Total, Mures, Anul 2015, Numar persoane, 7219
Total, Mures, Anul 2016, Numar persoane, 7093
Total, Sibiu, Anul 1990, Numar persoane, 4490
Total, Sibiu, Anul 1991, Numar persoane, 4370
Total, Sibiu, Anul 1992, Numar persoane, 4539
Total, Sibiu, Anul 1993, Numar persoane, 4545
Total, Sibiu, Anul 1994, Numar persoane, 4432
Total, Sibiu, Anul 1995, Numar persoane, 4629
Total, Sibiu, Anul 1996, Numar persoane, 4677
Total, Sibiu, Anul 1997, Numar persoane, 4852
Total, Sibiu, Anul 1998, Numar persoane, 4606
Total, Sibiu, Anul 1999, Numar persoane, 4664
Total, Sibiu, Anul 2000, Numar persoane, 4380
Total, Sibiu, Anul 2001, Numar persoane, 4498
Total, Sibiu, Anul 2002, Numar persoane, 4716
Total, Sibiu, Anul 2003, Numar persoane, 4536
Total, Sibiu, Anul 2004, Numar persoane, 4543
Total, Sibiu, Anul 2005, Numar persoane, 4493
Total, Sibiu, Anul 2006, Numar persoane, 4503
Total, Sibiu, Anul 2007, Numar persoane, 4380
Total, Sibiu, Anul 2008, Numar persoane, 4539
Total, Sibiu, Anul 2009, Numar persoane, 4526
Total, Sibiu, Anul 2010, Numar persoane, 4516
Total, Sibiu, Anul 2011, Numar persoane, 4329
Total, Sibiu, Anul 2012, Numar persoane, 4571
Total, Sibiu, Anul 2013, Numar persoane, 4494
Total, Sibiu, Anul 2014, Numar persoane, 4591
Total, Sibiu, Anul 2015, Numar persoane, 4682
